,,,,
"Sr. no.","Parameter","Value","Unit","Remark"
1,"BASE_LENGTH",120,"mm","As per client"
2,"BASE_WIDTH",60,"mm","As per client"
3,"VERTICAL_HEIGHT",80,"mm","As per client"
4,"BRACKET_THICKNESS",8,"mm","As per client"
5,"CORNER_RADIUS",8,"mm","For symmetry"
6,"BASE_HOLE_DIAMETER",9,"mm","ISO M8 through"
7,"BASE_HOLE_COUNTERSINK_DIAMETER",17.6,"mm","ISO M8 countersink"
8,"VERTICAL_HOLE_DIAMETER",9,"mm","ISO M8 through"
9,"VERTICAL_HOLE_COUNTERSINK_DIAMETER",17.6,"mm","ISO M8 countersink"
10,"TRIANGULAR_GROUT_THICKNESS",5,"mm","Designer choice"
11,"TRIANGULAR_GROUT_ANGLE",45,"degree","Symmetrical load distribution"
12,"RIGHT_ANGLE_OUTER_FILLET_RADIUS",8,"mm","For symmetry"
13,"CORNER_CHAMFER",0.5,"mm","As per design standards"
